<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIVF.US,D,20250318,000000,832.5,832.5,742.35,753.75,376.9559999623044,0
NIVF.US,D,20250319,000000,750,783.9,712.5,736.35,217.0439999782956,0
NIVF.US,D,20250320,000000,738.75,749.925,675,689.625,284.2079999715793,0
NIVF.US,D,20250321,000000,720,743.25,686.256,735,305.40133330279326,0
NIVF.US,D,20250324,000000,772.5,817.5,727.5,810,267.66933330656644,0
NIVF.US,D,20250325,000000,825,825,765,772.5,138.2279999861772,0
NIVF.US,D,20250326,000000,749.325,778.2,680.4,698.325,215.72266664509442,0
NIVF.US,D,20250327,000000,681,735,642.75,712.575,196.4479999803552,0
NIVF.US,D,20250328,000000,735,735,658.2,705,156.03599998439643,0
NIVF.US,D,20250331,000000,527.025,527.025,391.5,480,1477.7559998522247,0
NIVF.US,D,20250401,000000,465,574.65,427.875,453.75,758.3933332574941,0
NIVF.US,D,20250402,000000,440.1,453.75,418.5,441.75,166.63599998333643,0
NIVF.US,D,20250403,000000,742.5,1110,420.375,420.75,149788.88931835446,0
NIVF.US,D,20250404,000000,404.25,404.25,311.325,340.125,3742.3053329591035,0
NIVF.US,D,20250407,000000,302.925,374.925,300.825,338.55,1172.430666549424,0
NIVF.US,D,20250408,000000,327.675,337.5,262.5,307.5,1551.4946665115172,0
NIVF.US,D,20250409,000000,288,330.3,225.825,300.75,898.365333243497,0
NIVF.US,D,20250410,000000,314.7,333,289.125,333,396.906666626976,0
NIVF.US,D,20250411,000000,313.05,323.325,296.475,301.5,224.23733331090958,0
NIVF.US,D,20250414,000000,309.525,309.525,289.125,307.425,153.439999984656,0
NIVF.US,D,20250415,000000,307.425,312,287.25,301.2,220.5906666446076,0
NIVF.US,D,20250416,000000,277.5,292.05,251.25,264.375,719.8679999280134,0
NIVF.US,D,20250417,000000,262.5,277.875,195.825,212.55,1627.8279998372172,0
NIVF.US,D,20250421,000000,206.175,217.5,199.575,213.588,511.95866661547086,0
NIVF.US,D,20250422,000000,212.925,255.45,208.35,232.875,704.1146665962553,0
NIVF.US,D,20250423,000000,236.328,283.35,235.836,269.85,483.52666661831404,0
NIVF.US,D,20250424,000000,262.5,276.375,255,269.55,424.2039999575797,0
NIVF.US,D,20250425,000000,279.525,279.975,258.825,262.575,464.7186666201948,0
NIVF.US,D,20250428,000000,255.75,259.275,218.925,232.2,513.3773332819957,0
NIVF.US,D,20250429,000000,231.9,234,223.125,234,225.6653333107668,0
NIVF.US,D,20250430,000000,236.25,245.325,213.75,215.775,423.3213332910012,0
NIVF.US,D,20250501,000000,238.125,261.75,195.375,206.25,3545.9759996454027,0
NIVF.US,D,20250502,000000,206.625,360,193.65,225.75,22011.074664465563,0
NIVF.US,D,20250505,000000,266.25,321.75,245.25,265.5,13635.45333196979,0
NIVF.US,D,20250506,000000,261.75,372,243.758,282.75,29636.50666370302,0
NIVF.US,D,20250507,000000,264.75,276,211.5,226.5,3601.9999996397996,0
NIVF.US,D,20250508,000000,214.5,262.5,214.5,236.145,2940.426666372624,0
NIVF.US,D,20250509,000000,228.42,282.75,210,253.5,17359.853331597347,0
NIVF.US,D,20250512,000000,245.25,261,228.75,239.25,17938.639998206138,0
NIVF.US,D,20250513,000000,237,257.25,230.25,250.5,16287.466665037919,0
NIVF.US,D,20250514,000000,236.25,237.6,217.5,230.25,1813.6799998186323,0
NIVF.US,D,20250515,000000,220.5,232.5,210,223.5,2142.039999785796,0
NIVF.US,D,20250516,000000,216,229.5,213.75,221.25,2080.3199997919683,0
NIVF.US,D,20250519,000000,221.25,261,221.25,242.25,6999.546665966713,0
NIVF.US,D,20250520,000000,233.415,243.75,215.625,217.5,3110.9733330222366,0
NIVF.US,D,20250521,000000,217.5,218.25,192,197.25,1950.0399998049961,0
NIVF.US,D,20250522,000000,195.75,202.5,192,198,863.5333332469801,0
NIVF.US,D,20250523,000000,195.75,211.163,195,198,1153.1866665513478,0
NIVF.US,D,20250527,000000,197.25,209.993,193.5,198,25049.11999749509,0
NIVF.US,D,20250528,000000,184.5,184.5,159.75,168,4221.426666244524,0
NIVF.US,D,20250529,000000,161.25,175.5,157.65,164.25,1762.79999982372,0
NIVF.US,D,20250530,000000,167.25,167.25,135.75,151.5,1749.0399998250962,0
NIVF.US,D,20250602,000000,172.5,329.25,126,129,653599.4932679734,0
NIVF.US,D,20250603,000000,394.5,459.75,227.25,277.5,1248382.4665418284,0
NIVF.US,D,20250604,000000,216,266.895,212.258,228.75,35628.39999643716,0
NIVF.US,D,20250605,000000,218.25,222,169.425,172.5,14449.639998555036,0
NIVF.US,D,20250606,000000,179.25,179.25,157.5,165,7362.013332597133,0
NIVF.US,D,20250609,000000,162.75,166.125,141.75,143.25,10411.173332292217,0
NIVF.US,D,20250610,000000,153,154.493,142.5,145.5,8358.9999991641,0
NIVF.US,D,20250611,000000,144,154.493,138.75,148.5,8776.786665788988,0
NIVF.US,D,20250612,000000,147.75,149.25,129.75,134.25,209085.58664575813,0
NIVF.US,D,20250613,000000,124.5,127.5,118.5,127.5,10254.519998974549,0
NIVF.US,D,20250616,000000,120,123,102.75,103.5,14891.679998510834,0
NIVF.US,D,20250617,000000,104.25,105,93,93.75,6582.319999341768,0
NIVF.US,D,20250618,000000,87.75,96.75,87.75,93,6863.46666598032,0
NIVF.US,D,20250620,000000,93.75,93.75,87,90,4628.973332870436,0
NIVF.US,D,20250623,000000,88.5,88.5,79.5,81.75,4277.706666238897,0
NIVF.US,D,20250624,000000,81,84.75,79.5,81,3508.9333329824403,0
NIVF.US,D,20250625,000000,80.25,81,75,78,28419.679997158033,0
NIVF.US,D,20250626,000000,87,87.75,76.5,84.75,146118.1199853882,0
NIVF.US,D,20250627,000000,80.25,83.985,75.75,77.25,15254.373331807896,0
NIVF.US,D,20250630,000000,75.75,92.25,75.75,78,29504.546663716214,0
NIVF.US,D,20250701,000000,89.25,93,63.75,74.25,440921.6532892412,0
NIVF.US,D,20250702,000000,75,79.5,72,74.25,24222.25333091111,0
NIVF.US,D,20250703,000000,72,73.7925,67.725,69.4125,9956.546665671012,0
NIVF.US,D,20250707,000000,69,70.5,63.75,65.1,15090.759998490925,0
NIVF.US,D,20250708,000000,61.5,61.5,46.725,49.5075,27552.079997244793,0
NIVF.US,D,20250709,000000,47.625,48.6,45.675,45.9675,10283.799998971619,0
NIVF.US,D,20250710,000000,47.01,47.9775,45.375,46.95,6874.626665979205,0
NIVF.US,D,20250711,000000,47.7225,48.87,45.9075,47.04,6761.2266659905445,0
NIVF.US,D,20250714,000000,48.6,52.05,46.65,47.5575,18049.21333152841,0
NIVF.US,D,20250715,000000,47.625,48,43.53,44.085,8143.9199991856085,0
NIVF.US,D,20250716,000000,43.9875,44.3175,41.67,42.255,9016.039999098397,0
NIVF.US,D,20250717,000000,43.0875,45.75,42.375,45.6,10160.159998983983,0
NIVF.US,D,20250718,000000,44.235,45.6,41.055,42.6,13164.986665350169,0
NIVF.US,D,20250721,000000,43.5,45.075,39,40.425,19896.053331343726,0
NIVF.US,D,20250722,000000,39.8175,42.15,39.75,41.5575,2999.519999700048,0
NIVF.US,D,20250723,000000,42.75,43.1925,40.725,41.46,8497.573332483576,0
