<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRHC.US,D,20240313,000000,1440,1624,1416,1440.48,177.67000000000002,0
LRHC.US,D,20240314,000000,1441.04,1544.64,1392,1392,44.68620000000001,0
LRHC.US,D,20240315,000000,1424,1568,1368,1488,35.830000000000005,0
LRHC.US,D,20240318,000000,1456,1520,1352.08,1400,35.405,0
LRHC.US,D,20240319,000000,1392,1460,1328,1360,76.69,0
LRHC.US,D,20240320,000000,1320,1440,1320,1376,46.736200000000004,0
LRHC.US,D,20240321,000000,1440,1480,1368,1424,36.0362,0
LRHC.US,D,20240322,000000,1328,1439.92,1328,1400,21.116200000000003,0
LRHC.US,D,20240325,000000,1560,1560,1320,1352,57.0387,0
LRHC.US,D,20240326,000000,1392,1471.28,1320,1328,16.7787,0
LRHC.US,D,20240327,000000,1384,1479.92,1280,1392,19.292500000000004,0
LRHC.US,D,20240328,000000,1320,1400,1320,1328,18.427500000000002,0
LRHC.US,D,20240401,000000,1400,1480,1288,1376,12.3937,0
LRHC.US,D,20240402,000000,1309.6,1375.2,1304,1304,4.6937500000000005,0
LRHC.US,D,20240403,000000,1304,1359.36,1280.8,1288,11.387500000000001,0
LRHC.US,D,20240404,000000,1288,1312,1240,1240,28.1212,0
LRHC.US,D,20240405,000000,1296,1344,1200,1240,46.986200000000004,0
LRHC.US,D,20240408,000000,1192,1280,1136.08,1280,34.12,0
LRHC.US,D,20240409,000000,1280,1280.8,1224,1280,8.777500000000002,0
LRHC.US,D,20240410,000000,1232,1280,1224,1280,3.62125,0
LRHC.US,D,20240411,000000,1280,1303.92,1160,1224,17.915000000000003,0
LRHC.US,D,20240412,000000,1280,1280,1104.08,1184,12.6225,0
LRHC.US,D,20240415,000000,1264,1280,1168,1176,6.1925,0
LRHC.US,D,20240416,000000,1208,1240,1128.8,1180,9.19125,0
LRHC.US,D,20240417,000000,1192,1400,1191.68,1280,174.07000000000002,0
LRHC.US,D,20240418,000000,1456,1744,1392,1400,594.162,0
LRHC.US,D,20240419,000000,1440,1512,1376,1376,58.3987,0
LRHC.US,D,20240422,000000,1376,1440,1272.64,1278.48,56.863699999999994,0
LRHC.US,D,20240423,000000,1240,1288,1200,1288,20.1687,0
LRHC.US,D,20240424,000000,1232,1416.88,1201.52,1280,16.5625,0
LRHC.US,D,20240425,000000,1312,1440,1264,1368,39.915,0
LRHC.US,D,20240426,000000,1390.72,1392,1308.56,1360,12.1325,0
LRHC.US,D,20240429,000000,1400,1400,1320,1392,16.2287,0
LRHC.US,D,20240430,000000,1376,1402.16,1320,1320,15.816200000000002,0
LRHC.US,D,20240501,000000,1296,1360,1208,1264,36.005,0
LRHC.US,D,20240502,000000,1320,1355.2,1280,1344,15.0212,0
LRHC.US,D,20240503,000000,1336,1370.56,1204,1280,54.3925,0
LRHC.US,D,20240506,000000,1280,1336,1216,1328,11.22,0
LRHC.US,D,20240507,000000,1272,1296,1192,1192,49.4712,0
LRHC.US,D,20240508,000000,1192,1272,1192,1248,5.9662500000000005,0
LRHC.US,D,20240509,000000,1272,1272,1144,1183.6,43.410000000000004,0
LRHC.US,D,20240510,000000,1160,1192,1056,1064,61.4987,0
LRHC.US,D,20240513,000000,1072,1200,1048,1072,43.80500000000001,0
LRHC.US,D,20240514,000000,1168,1168,1029.28,1096,43.0662,0
